event_id,roi,lon,lat,area_ha,radd_any,clear_post,s1_post,ang_2020_2021_deg,tau,registered
C1924,CG1,29.062,1.215,1.519,2021-02-18,43.93,72.429,53.378,16.309,1
C1925,CG1,29.064,1.13,2.145,2021-02-08,29.039,73.857,37.085,16.309,1
C1926,CG1,29.063,1.177,1.966,2021-01-01,41.578,80.806,47.161,16.309,1
C1927,CG1,29.064,1.184,1.788,2021-01-13,40.258,78.484,46.945,16.309,1
C1928,CG1,29.066,1.143,1.073,2021-01-01,25.749,80.806,59.194,16.309,1
C1929,CG1,29.065,1.148,1.073,2021-03-02,29.954,70.613,50.979,16.309,1
C1930,CG1,29.066,1.241,1.698,2021-01-01,50.663,80.806,62.17,16.309,1
C1931,CG1,29.066,1.158,1.251,2021-01-13,33.973,78.484,47.417,16.309,1
C1932,CG1,29.066,1.259,1.698,2021-03-04,45.169,70.226,40.641,16.309,1
C1933,CG1,29.066,1.299,1.073,2021-01-03,54.878,80.419,39.724,16.309,1
C1934,CG1,29.066,1.134,1.341,2021-01-13,30.491,78.484,42.679,16.309,1
C1935,CG1,29.068,1.159,2.234,2021-01-01,34.58,80.806,61.239,16.309,1
C1936,CG1,29.068,1.256,2.86,2021-01-27,54.328,75.774,55.23,16.309,1
C1937,CG1,29.068,1.303,1.251,2021-01-13,50.129,78.484,47.071,16.309,1
C1938,CG1,29.068,1.129,1.519,2021-01-01,30.056,80.806,44.527,16.309,1
C1939,CG1,29.068,1.161,2.056,2021-01-01,35.381,80.806,53.429,16.309,1
C1940,CG1,29.07,1.143,2.235,2021-01-01,29.01,80.806,46.471,16.309,1
C1941,CG1,29.07,1.211,1.073,2021-03-14,37.171,68.29,31.019,16.309,1
C1942,CG1,29.071,1.144,2.056,2021-01-25,26.443,76.161,33.627,16.309,1
C1943,CG1,29.071,1.157,1.073,2021-03-28,25.895,65.581,53.534,16.309,1
C1944,CG1,29.072,1.186,5.273,2021-01-01,34.416,80.806,58.023,16.309,1
C1945,CG1,29.072,1.247,1.519,2021-02-08,42.214,73.857,61.309,16.309,1
C1946,CG1,29.073,1.179,2.503,2021-03-26,23.213,65.968,51.191,16.309,1
C1947,CG1,29.073,1.214,1.073,2021-01-27,35.374,75.774,49.581,16.309,1
C1948,CG1,29.072,1.159,2.234,2021-01-25,30.345,76.161,56.684,16.309,1
C1949,CG1,29.073,1.252,1.341,2021-01-13,43.921,78.484,51.279,16.309,1
C1950,CG1,29.074,1.24,2.234,2021-01-01,47.337,80.806,43.336,16.309,1
C1951,CG1,29.074,1.142,2.145,2021-01-03,29.949,80.419,46.528,16.309,1
C1952,CG1,29.078,1.15,1.43,2021-01-13,29.939,78.484,54.669,16.309,1
C1953,CG1,29.078,1.268,2.771,2021-02-06,40.563,74.143,57.273,16.309,1
C1954,CG1,29.079,1.157,1.877,2021-01-25,29.995,76.161,57.902,16.309,1
C1955,CG1,29.08,1.105,1.073,2021-05-27,19.436,55.774,42.858,16.309,1
C1956,CG1,29.08,1.201,1.966,2021-01-01,31.322,80.806,44.787,16.309,1
C1957,CG1,29.08,1.138,1.162,2021-03-16,25.93,67.903,28.317,16.309,1
C1958,CG1,29.081,1.144,1.073,2021-03-02,24.435,70.613,46.693,16.309,1
C1959,CG1,29.083,1.113,1.162,2021-06-24,18.254,47.0,24.015,16.309,1
C1960,CG1,29.082,1.259,1.251,2021-01-01,35.961,80.806,39.442,16.309,1
C1961,CG1,29.084,1.164,1.073,2021-02-06,28.45,74.143,33.981,16.309,1
C1962,CG1,29.085,1.267,1.43,2021-01-13,34.395,78.484,44.537,16.309,1
C1963,CG1,29.086,1.249,1.251,2021-01-03,35.182,80.419,50.379,16.309,1
C1964,CG1,29.086,1.158,1.073,2021-01-01,29.273,80.806,52.346,16.309,1
C1965,CG1,29.087,1.169,1.788,2021-01-03,34.455,80.419,38.962,16.309,1
C1966,CG1,29.087,1.234,1.966,2021-01-01,33.31,80.806,56.56,16.309,1
C1967,CG1,29.087,1.142,1.073,2021-01-01,27.505,80.806,55.423,16.309,1
C1968,CG1,29.088,1.175,4.38,2021-01-01,32.567,80.806,47.934,16.309,1
C1969,CG1,29.087,1.237,1.341,2021-04-07,23.974,64.067,50.284,16.309,1
C1970,CG1,29.088,1.141,1.162,2021-01-15,26.76,78.097,55.086,16.309,1
C1971,CG1,29.088,1.173,1.251,2021-01-03,32.244,80.419,40.03,16.309,1
C1972,CG1,29.091,1.235,1.43,2021-04-07,24.071,64.067,59.574,16.309,1
C1973,CG1,29.091,1.108,1.341,2021-01-25,28.938,76.161,43.411,16.309,1
