s2_2224,lon,lat
7.349371437523021,34.257353,31.30918
10.883005870675444,34.260505,31.309149
11.976307726519789,34.263657,31.309118
7.045645868973247,34.266809,31.309087
7.948442412789713,34.269961,31.309056
10.60704354039399,34.273113,31.309025
8.53769478748674,34.276265,31.308994
8.335612131149235,34.279417,31.308962
11.37791760075579,34.282569,31.308931
6.221082297030262,34.285721,31.308899
5.203001867742681,34.288872,31.308868
7.592524929891861,34.292024,31.308836
7.238924131856975,34.295176,31.308804
6.600254473417584,34.298328,31.308772
3.3623529976821063,34.229021,31.312161
11.00242743828086,34.232173,31.312131
8.299062618865404,34.235325,31.312101
6.677722348976032,34.238477,31.31207
8.315429878625192,34.241629,31.31204
7.491044705708404,34.244781,31.312009
6.519819461963466,34.247933,31.311979
6.272383921411116,34.251085,31.311948
5.77283809657992,34.254237,31.311917
12.060034209838657,34.257389,31.311886
8.487641760414384,34.260541,31.311856
5.795874671981151,34.263693,31.311825
8.053711356310211,34.266845,31.311794
12.837674602989134,34.269997,31.311762
15.89346339323594,34.273149,31.311731
10.686392446385568,34.276301,31.3117
9.844886525814129,34.279453,31.311668
10.327424196151872,34.282605,31.311637
11.951692348259249,34.285757,31.311606
8.515852114348657,34.288909,31.311574
6.914064813711615,34.292061,31.311542
6.380278610377288,34.295213,31.31151
7.536480106748502,34.298365,31.311479
5.2873846029509775,34.225904,31.314898
4.122268495173108,34.229056,31.314867
8.669266458624195,34.232208,31.314837
7.996714413463248,34.23536,31.314807
6.695347429301489,34.238513,31.314776
7.397071420083346,34.241665,31.314746
5.756030631454389,34.244817,31.314716
4.440064367087948,34.247969,31.314685
7.823938879138859,34.251121,31.314654
7.4428066838627975,34.254273,31.314623
10.718786131307866,34.257425,31.314593
11.096864745846695,34.260577,31.314562
12.575004275417193,34.26373,31.314531
12.617862745365073,34.266882,31.3145
10.519007743667666,34.270034,31.314469
9.796107172105463,34.273186,31.314437
7.871858621359207,34.276338,31.314406
11.439505608850538,34.27949,31.314375
7.337242894588999,34.282642,31.314343
7.938587063547287,34.285794,31.314312
8.004716431732938,34.288946,31.31428
10.562242098305946,34.292098,31.314248
7.578168465359207,34.29525,31.314217
4.5400326334164065,34.298402,31.314185
7.030631010590822,34.225939,31.317604
5.944350588143348,34.229091,31.317574
6.522801740410448,34.232243,31.317543
8.272250983714182,34.235396,31.317513
7.577061743866502,34.238548,31.317483
7.598589226649287,34.2417,31.317452
8.57481435631028,34.244852,31.317422
8.289397791348357,34.248005,31.317391
7.614856043472797,34.251157,31.31736
6.903588738734379,34.254309,31.31733
8.661968344117618,34.257461,31.317299
11.793776783000874,34.260613,31.317268
11.550010847940412,34.263766,31.317237
17.084422576972063,34.266918,31.317206
11.37515090044357,34.27007,31.317175
9.790405046420297,34.273222,31.317143
8.636883315944925,34.276374,31.317112
9.225413802182453,34.279527,31.317081
5.853414627280772,34.282679,31.317049
4.81185850279716,34.285831,31.317018
4.65793479369797,34.288983,31.316986
7.926418484298441,34.292135,31.316955
8.503600220769718,34.295287,31.316923
6.275292834042455,34.298439,31.316891
6.438199023472675,34.257497,31.320005
13.06390693987256,34.26065,31.319974
13.21619289123108,34.263802,31.319943
13.984162079629163,34.266954,31.319912
17.273419195352297,34.270106,31.319881
11.083355842669654,34.273259,31.31985
8.183891568856694,34.276411,31.319818
4.986314437215466,34.279563,31.319787
4.823084771602839,34.282715,31.319756
5.419623454077558,34.285868,31.319724
7.719218360344433,34.28902,31.319692
6.748826269769277,34.292172,31.319661
6.153324697498313,34.295324,31.319629
5.910511109635807,34.298477,31.319597
6.626179456728982,34.301108,31.281679
5.281286546646358,34.304259,31.281647
4.386867894742249,34.30741,31.281615
4.396128323599919,34.310561,31.281583
5.916910154366055,34.313712,31.281551
4.651519304916286,34.316863,31.281519
5.93753156894717,34.320014,31.281486
8.767321765136844,34.323165,31.281454
8.0585088566394,34.326316,31.281421
5.707139675609251,34.329467,31.281389
9.88474801775845,34.332618,31.281356
10.968191655674483,34.335768,31.281323
13.194555343308135,34.338919,31.281291
8.043443783786003,34.34207,31.281258
