event_id,s1_post_radd_any,s1_post_date_upper
F33736,12.838709677419356,12.161290322580644
F41336,14.466666666666667,14.466666666666667
F13153,10.35483870967742,10.35483870967742
F28773,13.516129032258064,13.903225806451612
F13857,7.5,7.5
F30452,22.161290322580644,22.161290322580644
F14544,10.35483870967742,10.35483870967742
F36100,14.466666666666667,14.466666666666667
F16326,6.3,6.3
F13150,6.3,6.3
F24952,14.466666666666667,15.266666666666666
F28784,9.580645161290322,13.903225806451612
F5578,8.7,8.7
F30451,3.8666666666666667,12.741935483870968
F24375,19.733333333333334,15.466666666666667
F41333,28.32258064516129,28.32258064516129
F14538,4.64516129032258,4.64516129032258
F14546,7.5,7.5
F14536,7.5,7.5
F30462,4.193548387096774,12.741935483870968
F14537,11.193548387096774,11.193548387096774
F13149,6.3,6.3
F14539,5.419354838709678,5.419354838709678
F6174,11.193548387096774,11.193548387096774
F25237,15.266666666666666,15.266666666666666
F25249,15.266666666666666,15.266666666666666
F24216,16.096774193548388,16.096774193548388
F30436,15.266666666666666,15.266666666666666
F30432,17.258064516129032,17.258064516129032
F24217,17.258064516129032,17.258064516129032
F30431,15.266666666666666,15.266666666666666
F1365,10.35483870967742,10.35483870967742
F30444,8.7,12.741935483870968
F14517,9.580645161290322,9.580645161290322
F1368,27.161290322580644,27.161290322580644
F11014,8.7,8.7
F30428,13.516129032258064,13.516129032258064
RS503,7.5,7.5
F1372,11.193548387096774,11.193548387096774
F23680,17.258064516129032,17.258064516129032
F14518,5.419354838709678,5.419354838709678
F3540,26.58064516129032,8.7
F39662,14.466666666666667,14.466666666666667
F30440,14.466666666666667,14.466666666666667
F37562,11.193548387096774,11.193548387096774
F6178,15.266666666666666,15.266666666666666
F6076,5.419354838709678,5.419354838709678
F35319,27.161290322580644,27.161290322580644
F3527,8.7,8.7
F30458,21.0,21.0
F30446,13.516129032258064,13.516129032258064
F30448,13.516129032258064,13.516129032258064
F39672,11.193548387096774,11.193548387096774
F27801,14.466666666666667,14.466666666666667
F37563,12.35483870967742,12.35483870967742
F16268,3.8666666666666667,3.8666666666666667
F35962,14.466666666666667,14.466666666666667
RS44,4.64516129032258,4.64516129032258
F35967,6.3,11.387096774193548
F15294,8.7,8.7
RS2042,22.161290322580644,22.161290322580644
F15293,6.3,6.3
F16263,1.4838709677419355,1.935483870967742
F16259,6.3,6.3
F16262,4.64516129032258,4.64516129032258
F35994,3.0666666666666664,11.387096774193548
F16253,27.161290322580644,27.161290322580644
F33740,14.466666666666667,14.466666666666667
F39573,10.67741935483871,10.67741935483871
F35324,12.838709677419356,11.67741935483871
F35322,8.7,11.67741935483871
F35961,27.161290322580644,27.161290322580644
F41222,26.0,26.0
F35922,20.53333333333333,11.387096774193548
F33742,12.35483870967742,12.35483870967742
F35317,26.0,26.0
F36068,20.2,20.2
RS2269,6.3,6.3
RS2043,6.3,6.3
F15298,8.7,8.7
RS1835,6.3,6.3
F36046,25.17241379310345,25.17241379310345
F36006,4.64516129032258,11.387096774193548
F16261,5.419354838709678,5.419354838709678
F35987,6.3,11.387096774193548
F40509,8.0,10.483870967741936
F35978,4.64516129032258,11.387096774193548
F15288,6.3,6.3
F35321,14.466666666666667,14.466666666666667
F26354,6.3,14.666666666666666
RS1837,6.3,6.3
RS1833,8.7,8.7
F35998,22.161290322580644,22.161290322580644
F27767,26.0,26.0
F36032,3.0666666666666664,11.387096774193548
F35313,14.466666666666667,14.466666666666667
F36020,13.516129032258064,13.516129032258064
F41221,26.58064516129032,10.29032258064516
F2130,27.741935483870968,8.1
F2131,26.0,26.0
F3519,9.580645161290322,9.580645161290322
F17720,19.733333333333334,27.451612903225808
F35325,0.7096774193548387,11.67741935483871
F25203,5.741935483870968,15.066666666666666
RS1946,6.3,6.3
F3524,8.7,8.7
F41808,14.466666666666667,14.466666666666667
F41802,26.0,26.0
F16614,3.8666666666666667,3.8666666666666667
RS1942,6.3,6.3
F28763,14.466666666666667,14.466666666666667
F35908,14.466666666666667,14.466666666666667
RS876,21.0,21.0
F35878,4.64516129032258,11.387096774193548
F35966,5.419354838709678,11.387096774193548
F16255,4.64516129032258,4.64516129032258
F2128,7.5,8.1
F15297,5.419354838709678,5.419354838709678
F2126,19.4,19.4
F6901,5.419354838709678,8.1
F39560,11.193548387096774,11.193548387096774
F25207,15.266666666666666,15.266666666666666
F25209,15.266666666666666,15.266666666666666
F25210,16.096774193548388,16.096774193548388
F27676,14.466666666666667,14.466666666666667
F35862,21.0,21.0
F6463,6.3,6.3
F35971,13.516129032258064,13.516129032258064
RS2045,3.8666666666666667,3.8666666666666667
F35884,6.3,11.387096774193548
F35970,13.516129032258064,13.516129032258064
F31989,3.8666666666666667,12.451612903225806
F10702,8.7,8.7
F35882,14.466666666666667,14.466666666666667
F31980,15.266666666666666,15.266666666666666
F39568,11.193548387096774,11.193548387096774
F10701,10.35483870967742,10.35483870967742
RS2,5.419354838709678,5.419354838709678
F30385,14.466666666666667,14.466666666666667
F15388,7.5,7.5
F27697,12.35483870967742,14.4
F37474,11.193548387096774,11.193548387096774
F6503,9.580645161290322,9.580645161290322
RS2009,3.8666666666666667,3.8666666666666667
RS1339,8.7,8.7
F39576,28.32258064516129,28.32258064516129
F39575,28.32258064516129,28.32258064516129
RS1007,5.419354838709678,5.419354838709678
RS1338,6.3,6.3
F6902,8.7,8.7
RS2164,6.3,6.3
RS2272,3.8666666666666667,3.8666666666666667
F18323,10.35483870967742,10.35483870967742
F41762,12.35483870967742,12.35483870967742
RS2273,5.419354838709678,5.419354838709678
F41791,24.344827586206897,24.344827586206897
F25196,16.096774193548388,16.096774193548388
F3455,25.17241379310345,25.17241379310345
F18365,9.580645161290322,10.096774193548388
RS1458,10.35483870967742,10.35483870967742
F15377,6.3,6.3
RS1337,4.64516129032258,4.64516129032258
RS1460,4.64516129032258,4.64516129032258
