event_id,region,in_custom_box,lon,lat,area_ha,classname,view_date,alert_code,image_before,image_after,bracket_days,bracket_mid,event_month,overlap_frac,ang_mean_deg,ang_npx,tau_deg,registered,clear_post,clear_total_2021,radd_date,radd_latency_days,block
A_127,A,True,-56.02035028847943,-5.192969495626282,10.97874005866861,DESMATAMENTO_CR,2021-07-26,397252,2021-06-29,2021-08-28,60,2021-07-29,7,0.8307613183112668,41.83876081101678,1019,11.393369413289843,1,10,26,,,-113_-11
A_128,A,False,-55.42644529074527,-4.487501638001638,17.48195395690948,DESMATAMENTO_CR,2021-07-19,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.8296801265584837,39.98929666785037,1652,11.393369413289843,1,31,48,,,-111_-9
A_129,A,False,-55.42229863830321,-4.487543160140563,32.59533043704275,DESMATAMENTO_CR,2021-06-30,347225,2021-05-27,2021-07-19,53,2021-06-22,6,0.8269638514508525,38.87253179159327,3183,11.393369413289843,1,33,47,,,-111_-9
A_130,A,True,-56.26850989627139,-4.711349985982612,7.293677877793089,DESMATAMENTO_CR,2021-06-17,347064,2021-05-26,2021-06-30,35,2021-06-12,6,0.8254498594069741,28.33748486638072,651,11.393369413289843,1,16,27,,,-113_-10
A_131,A,False,-55.16270156286448,-4.328416655003499,8.770412453908193,DESMATAMENTO_CR,2021-06-24,347227,2021-05-28,2021-07-11,44,2021-06-19,6,0.8242976411988162,43.31554056074162,830,11.393369413289843,1,13,20,,,-111_-9
A_132,A,True,-56.216314559386966,-4.6212352490421456,10.675008232091367,DESMATAMENTO_CR,2021-10-09,449772,2021-08-17,2021-10-12,56,2021-09-14,9,0.8228392755970462,25.4842770933013,1006,11.393369413289843,1,8,27,2021-09-13,-1.0,-113_-10
A_133,A,True,-56.04030366984634,-4.5797999072602025,30.873380378063395,DESMATAMENTO_CR,2021-06-30,347398,2021-05-26,2021-07-18,53,2021-06-21,6,0.8227457302202771,52.10643477173721,2982,11.393369413289843,1,18,25,2021-08-08,47.0,-113_-10
A_134,A,True,-55.79158955011236,-4.73180312345882,37.313782170004586,DESMATAMENTO_CR,2021-07-18,349582,2021-06-14,2021-07-29,45,2021-07-06,7,0.8225697495465758,38.472523715826966,3647,11.393369413289843,1,14,26,2021-10-07,92.0,-112_-10
A_135,A,True,-56.088712674462464,-4.584015239532253,16.264881771978363,DESMATAMENTO_CR,2021-06-27,519430,2021-05-30,2021-06-30,31,2021-06-14,6,0.8201450042043558,44.36517789525958,1554,11.393369413289843,1,15,23,2021-07-27,42.0,-113_-10
A_136,A,True,-56.016632815481046,-5.142016653038975,7.497509132083226,DESMATAMENTO_CR,2021-05-26,778118,2021-04-22,2021-06-22,61,2021-05-22,5,0.8196580778778195,56.34114900081218,697,11.393369413289843,1,19,25,2021-05-16,-7.0,-113_-11
A_137,A,True,-56.06758819299466,-4.799342495940619,8.813886197134666,DESMATAMENTO_CR,2021-07-11,347926,2021-05-26,2021-07-20,55,2021-06-22,6,0.8194941770333313,37.67297895566786,812,11.393369413289843,1,15,23,2021-06-27,4.0,-113_-10
A_138,A,False,-56.09178450126262,-3.986125063131313,6.483887812665105,DESMATAMENTO_CR,2021-06-30,347412,2021-06-12,2021-07-18,36,2021-06-30,6,0.8175421856915756,46.55312875583046,605,11.393369413289843,1,11,22,2021-09-13,75.0,-113_-8
A_139,A,True,-55.953336100386124,-4.715745109395111,6.355088515309058,DESMATAMENTO_CR,2021-05-03,327582,2021-03-28,2021-05-15,48,2021-04-21,4,0.8167098158618115,37.88339298267879,593,11.393369413289843,1,28,31,2021-05-22,31.0,-112_-10
A_140,A,False,-56.11876464646465,-5.226282828282828,16.182227623390034,DESMATAMENTO_CR,2021-07-08,396480,2021-06-22,2021-08-19,58,2021-07-21,7,0.8165727047491546,33.869911132229724,1551,11.393369413289843,1,13,27,,,-113_-11
A_141,A,True,-56.173454415094334,-5.134127371069181,8.122911889333464,DESMATAMENTO_CR,2021-07-31,396552,2021-06-30,2021-08-12,43,2021-07-21,7,0.8157587136052774,44.06438942441248,765,11.393369413289843,1,12,25,2021-08-02,11.0,-113_-11
A_142,A,False,-55.07492814371258,-4.327324887724552,16.399271495825985,DESMATAMENTO_CR,2021-09-22,441581,2021-08-20,2021-10-20,61,2021-09-19,9,0.8134246843497341,18.33329166293217,1555,11.393369413289843,1,4,25,2021-10-31,41.0,-111_-9
A_143,A,False,-55.073542252188304,-4.342795765318192,8.64750893638013,DESMATAMENTO_CR,2021-07-26,535518,2021-07-08,2021-08-21,44,2021-07-30,7,0.8132987304418859,39.51581047189182,815,11.393369413289843,1,12,25,,,-111_-9
A_144,A,False,-55.62340525841346,-4.320100851362177,20.425655547564197,DESMATAMENTO_CR,2021-06-30,347403,2021-06-14,2021-07-26,42,2021-07-05,7,0.8125510310961612,51.71102953345348,1976,11.393369413289843,1,18,22,,,-112_-9
A_145,A,False,-55.70607704374058,-4.381691945701358,6.781415568717942,DESMATAMENTO_CR,2021-07-19,396752,2021-07-01,2021-07-28,27,2021-07-14,7,0.8121311332656609,40.54555675817889,640,11.393369413289843,1,13,23,,,-112_-9
A_146,A,True,-55.75184904552129,-4.770694419970631,11.138942000989616,DESMATAMENTO_CR,2021-07-11,347972,2021-06-01,2021-07-18,47,2021-06-24,6,0.8115003238989037,33.72737787368239,1044,11.393369413289843,1,15,23,2021-08-08,44.0,-112_-10
A_147,A,True,-56.230233700980385,-4.923045526960784,6.672087435050309,DESMATAMENTO_CR,2021-07-11,349603,2021-05-24,2021-07-25,62,2021-06-24,6,0.8113405052486448,45.38562190648744,611,11.393369413289843,1,16,24,,,-113_-10
A_148,A,False,-55.20970912501875,-4.261468857871829,13.632446082995086,DESMATAMENTO_CR,2021-09-30,430415,2021-08-20,2021-10-20,61,2021-09-19,9,0.8112311326918471,22.641348160933536,1285,11.393369413289843,1,7,32,,,-111_-9
A_149,A,True,-55.987766163310965,-4.737467477628634,14.623635669888555,DESMATAMENTO_CR,2021-06-27,347348,2021-05-26,2021-07-15,50,2021-06-20,6,0.8019238364118202,39.186039164326814,1413,11.393369413289843,1,18,29,2021-07-21,31.0,-112_-10
A_150,A,True,-56.08599340385811,-4.5836909147479785,9.859548678778111,DESMATAMENTO_CR,2021-06-17,519430,2021-05-30,2021-06-30,31,2021-06-14,6,0.8019158125626075,45.119160980173646,918,11.393369413289843,1,15,23,2021-09-13,90.0,-113_-10
A_151,A,False,-55.5278330500071,-4.506373211503045,14.438064329000936,DESMATAMENTO_CR,2021-07-14,396623,2021-06-01,2021-07-29,58,2021-06-30,6,0.8017821670180127,47.657500540856006,1389,11.393369413289843,1,14,22,,,-112_-10
A_152,A,False,-55.064173841166934,-4.429006861156132,18.931563586632347,DESMATAMENTO_CR,2021-10-07,780134,2021-08-08,2021-10-07,60,2021-09-07,9,0.7986014625930785,29.021882012590098,1821,11.393369413289843,1,5,21,,,-111_-9
A_153,A,True,-55.96938563704749,-4.699445886224729,8.698574727307166,DESMATAMENTO_CR,2021-05-03,517261,2021-04-08,2021-05-07,29,2021-04-22,4,0.7982032302792235,47.581797898771725,826,11.393369413289843,1,25,28,2021-08-20,119.0,-112_-10
A_154,A,True,-55.754271128488185,-4.77415694572217,26.669535882971715,DESMATAMENTO_CR,2021-06-30,347972,2021-06-01,2021-07-18,47,2021-06-24,6,0.7970898996853948,32.1187678906212,2577,11.393369413289843,1,12,21,2021-08-08,44.0,-112_-10
A_155,A,True,-55.96365381208856,-4.593790879712746,17.086790967829526,DESMATAMENTO_CR,2021-06-21,347128,2021-05-26,2021-07-15,50,2021-06-20,6,0.7949131306285894,43.62138207937837,1634,11.393369413289843,1,18,29,2021-09-25,97.0,-112_-10
A_156,A,False,-55.37874527407407,-4.101342518518519,13.813191855123732,DESMATAMENTO_CR,2021-08-09,406278,2021-07-18,2021-08-22,35,2021-08-04,8,0.7946026788970633,35.35831826129144,1307,11.393369413289843,1,9,25,2021-07-27,-9.0,-111_-9
A_157,A,True,-56.17028321773852,-4.600909962168979,19.460959966834263,DESMATAMENTO_CR,2021-06-18,337461,2021-05-06,2021-06-20,45,2021-05-28,5,0.7875907685596952,33.63685962854148,1852,11.393369413289843,1,20,26,,,-113_-10
A_158,A,False,-55.039562292609354,-4.253931271995978,8.139035583585501,DESMATAMENTO_CR,2021-07-19,530918,2021-05-27,2021-07-24,58,2021-06-25,6,0.7865243657638283,36.939209023080366,753,11.393369413289843,1,15,25,,,-111_-9
A_159,A,True,-55.69979451669595,-4.590037680140597,17.455001557349412,DESMATAMENTO_CR,2021-07-23,397052,2021-06-14,2021-08-05,52,2021-07-10,7,0.7859646778666476,43.160774275457314,1662,11.393369413289843,1,14,26,2021-09-19,71.0,-112_-10
A_160,A,False,-55.13973651551315,-4.219348581278175,15.431674853937421,DESMATAMENTO_CR,2021-09-02,440166,2021-07-27,2021-09-02,37,2021-08-14,8,0.7856664214583616,21.675938403499572,1475,11.393369413289843,1,6,21,,,-111_-9
A_161,A,True,-55.80224334583474,-4.9068654278895325,17.986856973010582,DESMATAMENTO_CR,2021-06-30,347424,2021-06-22,2021-07-16,24,2021-07-04,7,0.7846465836838014,48.943444523965866,1741,11.393369413289843,1,14,24,2021-07-15,11.0,-112_-10
A_162,A,True,-56.165525513513515,-5.139222666666667,11.341337565734051,DESMATAMENTO_CR,2021-07-11,396552,2021-06-30,2021-08-12,43,2021-07-21,7,0.7845404061722907,39.32421183691257,1076,11.393369413289843,1,12,27,2021-09-13,53.0,-113_-11
