event_id,uf,radd_any,cp,reg_now,reg_next,truth_year,pred_naive,pred_two_year,pred_k0
E256,PA,2021-05-10,27.71,1,0.0,2021,2021,2021,2021
E257,PA,2021-08-26,8.645,1,0.0,2021,2021,2021,2021
E258,PA,2021-08-14,10.645,1,0.0,2021,2021,2021,2021
E259,PA,2021-09-25,5.333,1,0.0,2021,2021,2021,2021
E260,AC,2021-01-10,119.742,1,0.0,2021,2021,2021,2021
E261,AC,2021-07-23,16.548,1,0.0,2021,2021,2021,2021
E262,PA,2021-03-29,35.065,1,0.0,2021,2021,2021,2021
E263,PA,2021-06-21,33.1,1,0.0,2021,2021,2021,2021
E264,PA,2021-01-04,43.742,1,0.0,2021,2021,2021,2021
E265,PA,2021-01-28,46.581,1,0.0,2021,2021,2021,2021
E266,AM,2021-01-09,22.0,1,0.0,2021,2021,2021,2021
E267,PA,2021-06-21,17.9,1,0.0,2021,2021,2021,2021
E268,PA,2021-07-03,32.129,1,0.0,2021,2021,2021,2021
E269,PA,2021-10-07,3.548,1,0.0,2021,2021,2021,2021
E270,AC,2021-08-28,8.581,1,0.0,2021,2021,2021,2021
E271,PA,2021-03-17,41.355,1,0.0,2021,2021,2021,2021
E272,PA,2021-07-15,19.129,1,0.0,2021,2021,2021,2021
E273,PA,2021-08-09,6.839,1,0.0,2021,2021,2021,2021
E274,PA,2021-01-16,20.968,1,0.0,2021,2021,2021,2021
E275,AC,2021-06-15,42.0,1,0.0,2021,2021,2021,2021
E276,PA,2021-06-10,36.333,1,0.0,2021,2021,2021,2021
E277,PA,2021-07-16,14.968,1,0.0,2021,2021,2021,2021
E278,AC,2021-08-26,20.452,1,0.0,2021,2021,2021,2021
E279,PA,2021-08-08,27.194,1,0.0,2021,2021,2021,2021
E280,PA,2021-07-27,15.387,1,0.0,2021,2021,2021,2021
E281,AC,2021-04-18,49.6,1,0.0,2021,2021,2021,2021
E282,PA,2021-07-27,10.516,1,0.0,2021,2021,2021,2021
E283,PA,2021-08-08,17.935,1,0.0,2021,2021,2021,2021
E284,PA,2021-01-28,24.194,1,0.0,2021,2021,2021,2021
E285,PA,2021-04-22,22.267,1,0.0,2021,2021,2021,2021
E286,PA,2021-08-15,11.581,1,0.0,2021,2021,2021,2021
E287,PA,2021-08-08,8.226,1,0.0,2021,2021,2021,2021
E288,PA,2021-09-25,3.5,1,0.0,2021,2021,2021,2021
E289,PA,2021-07-27,29.774,1,0.0,2021,2021,2021,2021
E290,PA,2021-09-25,8.667,1,0.0,2021,2021,2021,2021
E291,PA,2021-07-15,25.065,1,0.0,2021,2021,2021,2021
E292,PA,2021-08-20,13.419,1,0.0,2021,2021,2021,2021
E293,PA,2021-09-25,15.833,1,0.0,2021,2021,2021,2021
E295,PA,2021-10-07,1.0,1,0.0,2021,2021,2021,2021
E296,PA,2021-08-08,10.968,1,0.0,2021,2021,2021,2021
E297,AC,2021-06-29,21.133,1,0.0,2021,2021,2021,2021
E299,PA,2021-01-22,22.871,1,0.0,2021,2021,2021,2021
E300,PA,2021-07-03,15.516,1,0.0,2021,2021,2021,2021
E301,AM,2021-07-21,20.935,1,0.0,2021,2021,2021,2021
E304,PA,2021-08-08,7.968,1,0.0,2021,2021,2021,2021
E305,PA,2021-01-11,19.645,1,0.0,2021,2021,2021,2021
E306,PA,2021-08-15,8.097,1,0.0,2021,2021,2021,2021
E307,PA,2021-08-15,12.129,1,0.0,2021,2021,2021,2021
E308,PA,2021-01-16,60.968,1,0.0,2021,2021,2021,2021
E309,PA,2021-10-14,6.645,1,0.0,2021,2021,2021,2021
E310,PA,2021-01-28,26.097,1,0.0,2021,2021,2021,2021
E311,PA,2021-02-03,22.0,1,0.0,2021,2021,2021,2021
E312,PA,2021-03-17,25.0,1,0.0,2021,2021,2021,2021
E313,PA,2021-04-05,67.0,1,0.0,2021,2021,2021,2021
E314,PA,2021-04-23,54.0,1,0.0,2021,2021,2021,2021
E315,PA,2021-04-10,21.667,1,0.0,2021,2021,2021,2021
E316,PA,2021-07-27,11.387,1,0.0,2021,2021,2021,2021
E317,AM,2021-05-12,58.29,1,0.0,2021,2021,2021,2021
E318,PA,2021-10-14,2.097,1,0.0,2021,2021,2021,2021
E319,PA,2021-06-11,21.167,1,0.0,2021,2021,2021,2021
E320,AC,2021-02-17,33.0,1,0.0,2021,2021,2021,2021
E321,PA,2021-09-25,5.167,1,0.0,2021,2021,2021,2021
E322,PA,2021-07-15,13.548,1,0.0,2021,2021,2021,2021
E323,PA,2021-08-20,9.065,1,0.0,2021,2021,2021,2021
E324,PA,2021-07-05,16.516,1,0.0,2021,2021,2021,2021
E325,PA,2021-05-29,42.516,1,0.0,2021,2021,2021,2021
E326,PA,2021-06-28,16.267,1,0.0,2021,2021,2021,2021
E327,PA,2021-01-16,21.484,1,0.0,2021,2021,2021,2021
E328,PA,2021-09-20,5.0,1,0.0,2021,2021,2021,2021
E329,PA,2021-07-27,12.516,1,0.0,2021,2021,2021,2021
E330,AM,2021-08-14,30.387,1,0.0,2021,2021,2021,2021
E331,PA,2021-04-12,27.8,1,0.0,2021,2021,2021,2021
E332,PA,2021-08-27,4.774,1,0.0,2021,2021,2021,2021
E333,PA,2021-01-18,46.839,1,0.0,2021,2021,2021,2021
E334,PA,2021-09-13,10.833,1,0.0,2021,2021,2021,2021
E335,AM,2021-06-15,47.0,1,0.0,2021,2021,2021,2021
E336,PA,2021-03-31,56.0,1,0.0,2021,2021,2021,2021
E337,AC,2021-07-09,15.839,1,0.0,2021,2021,2021,2021
E338,PA,2021-08-27,6.387,1,0.0,2021,2021,2021,2021
E339,PA,2021-04-24,20.4,1,0.0,2021,2021,2021,2021
E340,AC,2021-07-09,18.548,1,0.0,2021,2021,2021,2021
E341,PA,2021-01-06,32.0,1,0.0,2021,2021,2021,2021
E342,PA,2021-01-06,25.0,1,0.0,2021,2021,2021,2021
E343,PA,2021-10-26,1.161,1,0.0,2021,2021,2021,2021
E344,PA,2021-07-17,10.806,1,0.0,2021,2021,2021,2021
E345,PA,2021-07-24,13.677,1,0.0,2021,2021,2021,2021
E346,PA,2021-07-05,17.516,1,0.0,2021,2021,2021,2021
E347,PA,2021-08-22,7.452,1,0.0,2021,2021,2021,2021
E348,PA,2021-04-24,18.6,1,0.0,2021,2021,2021,2021
E349,PA,2021-03-31,29.0,1,0.0,2021,2021,2021,2021
E350,PA,2021-07-29,15.194,1,0.0,2021,2021,2021,2021
E351,AC,2021-07-11,11.935,1,0.0,2021,2021,2021,2021
E352,PA,2021-01-30,24.0,1,0.0,2021,2021,2021,2021
E353,PA,2021-01-11,49.581,1,0.0,2021,2021,2021,2021
E354,PA,2021-04-12,28.0,1,0.0,2021,2021,2021,2021
E355,PA,2021-09-20,5.333,1,0.0,2021,2021,2021,2021
E356,PA,2021-02-16,25.0,1,0.0,2021,2021,2021,2021
E357,AC,2021-08-14,11.194,1,0.0,2021,2021,2021,2021
E358,AP,2021-06-04,16.733,1,0.0,2021,2021,2021,2021
E359,PA,2021-07-05,36.71,1,0.0,2021,2021,2021,2021
E361,PA,2021-09-14,6.667,1,0.0,2021,2021,2021,2021
E362,PA,2021-01-18,25.419,1,0.0,2021,2021,2021,2021
E363,AC,2021-06-28,25.267,1,0.0,2021,2021,2021,2021
E364,MT,2021-05-09,49.129,1,0.0,2021,2021,2021,2021
E365,AC,2021-08-21,21.871,1,0.0,2021,2021,2021,2021
E366,MT,2021-05-02,55.613,1,0.0,2021,2021,2021,2021
E367,MT,2021-07-29,17.387,1,0.0,2021,2021,2021,2021
E368,AC,2021-06-28,40.667,1,0.0,2021,2021,2021,2021
E369,AC,2021-03-12,30.226,1,0.0,2021,2021,2021,2021
E370,MT,2021-07-07,20.419,1,0.0,2021,2021,2021,2021
E371,MT,2021-01-26,34.484,1,0.0,2021,2021,2021,2021
E372,MT,2021-04-27,59.4,1,0.0,2021,2021,2021,2021
E373,AC,2021-04-18,29.2,1,0.0,2021,2021,2021,2021
E374,MT,2021-01-27,70.258,1,0.0,2021,2021,2021,2021
E375,MT,2021-09-24,11.8,1,0.0,2021,2021,2021,2021
E376,AC,2021-06-28,22.333,1,0.0,2021,2021,2021,2021
E377,MT,2021-07-08,38.645,1,0.0,2021,2021,2021,2021
E378,MT,2021-04-15,62.0,1,0.0,2021,2021,2021,2021
E379,AM,2021-08-03,12.419,1,0.0,2021,2021,2021,2021
E380,AC,2021-08-28,12.484,1,0.0,2021,2021,2021,2021
E381,AC,2021-06-28,18.333,1,0.0,2021,2021,2021,2021
E382,PA,2021-08-26,5.806,1,0.0,2021,2021,2021,2021
E384,AC,2021-07-09,21.258,1,0.0,2021,2021,2021,2021
E385,MT,2021-06-27,19.5,1,0.0,2021,2021,2021,2021
E386,AC,2021-06-28,21.333,1,0.0,2021,2021,2021,2021
E387,MT,2021-08-14,11.742,1,0.0,2021,2021,2021,2021
E388,MT,2021-07-09,17.258,1,0.0,2021,2021,2021,2021
E389,AM,2021-03-10,23.71,1,0.0,2021,2021,2021,2021
E390,RO,2021-08-22,21.484,1,0.0,2021,2021,2021,2021
E391,PA,2021-08-26,10.484,1,0.0,2021,2021,2021,2021
E392,PA,2021-08-08,11.968,1,0.0,2021,2021,2021,2021
E393,PA,2021-05-28,25.581,1,0.0,2021,2021,2021,2021
E394,PA,2021-08-14,17.935,1,0.0,2021,2021,2021,2021
E395,PA,2021-06-15,19.5,1,0.0,2021,2021,2021,2021
E396,PA,2021-05-22,43.032,1,0.0,2021,2021,2021,2021
E397,PA,2021-03-17,26.903,1,0.0,2021,2021,2021,2021
E398,PA,2021-08-02,21.484,1,0.0,2021,2021,2021,2021
E399,PA,2021-01-23,26.516,1,0.0,2021,2021,2021,2021
E400,AC,2021-09-21,12.4,1,0.0,2021,2021,2021,2021
E401,PA,2021-05-22,18.871,1,0.0,2021,2021,2021,2021
