event_id,state,radd_only,lon,lat,area_ha,classname,view_date,radd_any,radd_high,date_upper,event_month,clear_post_radd_any,s1_post_radd_any,clear_post_radd_high,clear_post_date_upper,s1_post_date_upper,clear_total,s1_total,ang_mean_deg,ang_npx,tau_p85,tau_p90,tau_p95,reg_p85,registered,reg_p95,radd_npx,block
E5438,PA,0,-50.353,-3.271,13.586,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-09-22,2021-09-22,9.0,4.067,16.067,4.067,4.067,16.067,26,59,15.17,1302,12.102,12.73,13.754,1,1,1,198,-101_-7
E5439,PA,0,-48.617,-2.912,12.128,DESMATAMENTO_CR,2021-10-12,2021-09-28,2021-09-28,2021-09-28,9.0,4.2,8.333,4.2,4.2,8.333,32,35,24.005,1163,12.102,12.73,13.754,1,1,1,185,-98_-6
E5440,PA,0,-50.201,-3.787,6.964,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-09-22,2021-09-22,9.0,9.333,8.533,9.333,9.333,8.533,53,30,23.509,638,12.102,12.73,13.754,1,1,1,355,-101_-8
E5441,PA,0,-48.59,-2.336,9.255,DESMATAMENTO_CR,2021-10-12,2021-10-28,2021-10-28,2021-10-12,10.0,2.194,5.29,2.194,3.226,6.839,39,35,21.305,877,12.102,12.73,13.754,1,1,1,78,-98_-5
E5442,AM,0,-59.942,-7.449,12.446,DESMATAMENTO_CR,2021-08-10,2021-07-25,2021-07-25,2021-07-25,7.0,13.355,26.161,13.355,13.355,26.161,29,61,21.462,1192,9.556,10.204,11.25,1,1,1,116,-120_-15
E5443,PA,0,-48.626,-2.802,13.672,DESMATAMENTO_CR,2021-10-12,2021-08-11,2021-08-11,2021-08-11,8.0,10.226,16.226,10.226,10.226,16.226,25,35,32.944,1245,12.102,12.73,13.754,1,1,1,896,-98_-6
E5444,PA,0,-50.293,-3.224,15.289,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,1.871,14.355,1.871,1.871,14.355,24,59,11.784,1475,12.102,12.73,13.754,0,0,0,206,-101_-7
E5445,PA,0,-48.531,-2.309,8.296,DESMATAMENTO_CR,2021-10-12,2021-01-01,2021-01-01,2021-01-01,1.0,28.903,34.903,28.903,28.903,34.903,29,35,21.425,778,12.102,12.73,13.754,1,1,1,192,-98_-5
E5446,PA,0,-50.294,-3.204,7.681,DESMATAMENTO_CR,2021-10-12,2021-01-06,2021-01-06,2021-01-06,1.0,23.0,57.839,23.0,23.0,57.839,23,59,20.8,725,12.102,12.73,13.754,1,1,1,231,-101_-7
E5447,PA,0,-50.046,-3.51,8.914,DESMATAMENTO_CR,2021-10-12,2021-09-10,2021-09-10,2021-09-10,9.0,17.333,9.333,17.333,17.333,9.333,92,30,17.444,820,12.102,12.73,13.754,1,1,1,538,-101_-8
E5448,PA,0,-48.691,-2.744,8.004,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-09-22,2021-09-22,9.0,12.133,9.333,12.133,12.133,9.333,68,35,25.297,742,12.102,12.73,13.754,1,1,1,626,-98_-6
E5449,AM,0,-60.139,-7.115,9.773,DESMATAMENTO_CR,2021-08-10,2021-01-02,2021-01-02,2021-01-02,1.0,27.935,60.677,27.935,27.935,60.677,28,61,32.271,936,9.556,10.204,11.25,1,1,1,684,-121_-15
E5450,PA,0,-50.225,-3.374,15.606,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-10-04,2021-09-22,9.0,5.067,8.533,3.613,5.067,8.533,27,30,15.919,1515,12.102,12.73,13.754,1,1,1,544,-101_-7
E5451,PA,0,-50.408,-2.871,10.622,DESMATAMENTO_CR,2021-10-12,2021-10-09,2021-10-09,2021-10-09,10.0,3.419,6.419,3.419,3.419,6.419,26,29,21.707,993,12.102,12.73,13.754,1,1,1,35,-101_-6
E5452,PA,0,-50.115,-3.364,9.419,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,7.226,7.613,7.226,7.226,7.613,50,30,13.959,893,12.102,12.73,13.754,1,1,1,420,-101_-7
E5453,PA,0,-50.445,-2.864,6.43,DESMATAMENTO_CR,2021-10-12,2021-10-09,2021-10-09,2021-10-09,10.0,6.129,6.419,6.129,6.129,6.419,30,29,17.08,576,12.102,12.73,13.754,1,1,1,29,-101_-6
E5454,AM,0,-59.821,-7.188,8.99,DESMATAMENTO_CR,2021-08-10,2021-07-19,2021-07-19,2021-07-19,7.0,13.323,27.323,13.323,13.323,27.323,27,61,32.805,818,9.556,10.204,11.25,1,1,1,453,-120_-15
E5455,PA,0,-50.155,-3.417,8.257,DESMATAMENTO_CR,2021-10-12,2021-11-09,2021-11-09,2021-10-12,11.0,2.1,4.4,2.1,4.226,6.839,51,30,14.923,777,12.102,12.73,13.754,1,1,1,423,-101_-7
E5456,PA,0,-51.811,-3.889,25.656,DESMATAMENTO_CR,2021-10-12,2021-10-09,2021-10-09,2021-10-09,10.0,2.71,6.419,2.71,2.71,6.419,26,29,25.559,2414,12.102,12.73,13.754,1,1,1,152,-104_-8
E5457,PA,0,-51.973,-3.886,11.557,DESMATAMENTO_CR,2021-10-12,2021-09-03,2021-09-03,2021-09-03,9.0,3.7,8.8,3.7,3.7,8.8,24,29,19.212,1096,12.102,12.73,13.754,1,1,1,147,-104_-8
E5458,PA,0,-51.864,-3.877,23.114,DESMATAMENTO_CR,2021-10-12,2021-08-10,2021-08-10,2021-08-10,8.0,20.065,10.355,20.065,20.065,10.355,44,29,22.806,2228,12.102,12.73,13.754,1,1,1,153,-104_-8
E5459,PA,0,-51.762,-3.801,11.595,DESMATAMENTO_CR,2021-10-12,2021-09-03,2021-09-03,2021-09-03,9.0,5.6,8.8,5.6,5.6,8.8,22,29,25.206,1113,12.102,12.73,13.754,1,1,1,73,-104_-8
E5460,AM,0,-59.815,-6.87,22.533,DESMATAMENTO_CR,2021-08-10,2021-07-31,2021-07-31,2021-07-31,7.0,11.0,25.0,11.0,11.0,25.0,28,61,22.994,2181,9.556,10.204,11.25,1,1,1,731,-120_-14
E5461,PA,0,-50.018,-3.269,6.452,DESMATAMENTO_CR,2021-10-12,2021-09-22,2021-09-22,2021-09-22,9.0,21.467,8.533,21.467,21.467,8.533,104,30,20.011,602,12.102,12.73,13.754,1,1,1,311,-101_-7
E5462,PA,0,-51.802,-3.794,10.649,DESMATAMENTO_CR,2021-10-12,2021-07-17,2021-07-17,2021-07-17,7.0,11.806,12.355,11.806,11.806,12.355,22,29,23.322,1000,12.102,12.73,13.754,1,1,1,494,-104_-8
E5463,PA,0,-50.246,-3.415,10.23,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-11-09,2021-10-04,10.0,2.742,14.355,0.7,2.742,14.355,30,59,15.084,966,12.102,12.73,13.754,1,1,1,82,-101_-7
E5464,PA,0,-50.008,-5.583,10.39,DESMATAMENTO_CR,2021-10-12,2021-10-04,2021-10-04,2021-10-04,10.0,2.871,7.613,2.871,2.871,7.613,27,30,27.49,966,12.102,12.73,13.754,1,1,1,679,-101_-12
E5465,PA,0,-50.243,-2.466,9.396,DESMATAMENTO_CR,2021-10-12,2021-09-27,2021-09-27,2021-09-27,9.0,4.3,15.7,4.3,4.3,15.7,25,64,20.936,883,12.102,12.73,13.754,1,1,1,204,-101_-5
E5466,PA,0,-50.19,-3.153,44.297,DESMATAMENTO_CR,2021-10-12,2021-06-18,2021-06-18,2021-06-18,6.0,22.2,31.0,22.2,22.2,31.0,33,59,11.918,4315,12.102,12.73,13.754,0,0,0,405,-101_-7
E5467,PA,0,-50.245,-3.185,10.226,DESMATAMENTO_CR,2021-10-12,2021-08-10,2021-08-10,2021-08-10,8.0,12.387,22.387,12.387,12.387,22.387,29,59,31.262,927,12.102,12.73,13.754,1,1,1,381,-101_-7
E5468,PA,0,-50.151,-5.311,9.923,DESMATAMENTO_CR,2021-10-12,2021-08-29,2021-08-29,2021-08-29,8.0,4.258,10.194,4.258,4.258,10.194,20,30,19.229,904,12.102,12.73,13.754,1,1,1,160,-101_-11
E5469,PA,0,-50.228,-3.118,41.293,DESMATAMENTO_CR,2021-10-12,2021-09-10,2021-09-10,2021-09-10,9.0,9.667,17.667,9.667,9.667,17.667,28,59,23.178,4034,12.102,12.73,13.754,1,1,1,321,-101_-7
E5470,PA,0,-51.895,-2.469,15.293,DESMATAMENTO_CR,2021-10-12,2021-08-22,2021-08-22,2021-08-22,8.0,20.323,9.581,20.323,20.323,9.581,49,29,13.536,1470,12.102,12.73,13.754,1,1,0,324,-104_-5
E5471,PA,0,-51.976,-2.146,26.44,DESMATAMENTO_CR,2021-10-12,2021-07-29,2021-07-29,2021-07-29,7.0,12.065,11.194,12.065,12.065,11.194,23,29,15.57,2576,12.102,12.73,13.754,1,1,1,393,-104_-5
E5472,MT,0,-60.375,-9.152,9.561,DESMATAMENTO_CR,2021-08-10,2021-02-07,2021-02-07,2021-02-07,2.0,34.75,54.75,34.75,34.75,54.75,37,61,20.956,878,12.411,13.169,14.702,1,1,1,17,-121_-19
E5473,PA,0,-50.157,-5.287,9.898,DESMATAMENTO_CR,2021-10-12,2021-08-17,2021-08-17,2021-08-17,8.0,2.806,11.355,2.806,2.806,11.355,20,30,24.653,903,12.102,12.73,13.754,1,1,1,831,-101_-11
E5474,PA,0,-55.422,-1.498,21.448,DESMATAMENTO_CR,2021-10-12,2021-10-07,2021-10-07,2021-10-07,10.0,4.323,7.323,4.323,4.323,7.323,30,31,17.818,2053,12.102,12.73,13.754,1,1,1,529,-111_-3
E5475,PA,0,-55.417,-1.495,6.719,DESMATAMENTO_CR,2021-10-12,2021-12-18,2021-12-18,2021-10-12,12.0,1.258,1.258,1.258,7.452,6.839,38,31,26.011,581,12.102,12.73,13.754,1,1,1,7,-111_-3
E5476,AM,0,-59.814,-6.777,16.015,DESMATAMENTO_CR,2021-08-10,2021-08-06,2021-08-06,2021-08-06,8.0,14.226,24.032,14.226,14.226,24.032,33,61,22.63,1531,9.556,10.204,11.25,1,1,1,90,-120_-14
E5477,PA,0,-50.107,-5.268,11.088,DESMATAMENTO_CR,2021-10-12,2021-08-17,2021-08-17,2021-08-17,8.0,6.806,11.355,6.806,6.806,11.355,22,30,15.094,1042,12.102,12.73,13.754,1,1,1,384,-101_-11
E5478,PA,0,-54.295,-1.414,26.967,DESMATAMENTO_CR,2021-10-12,2021-09-13,2021-09-13,2021-09-13,9.0,18.533,9.7,18.533,18.533,9.7,56,31,41.433,2599,12.102,12.73,13.754,1,1,1,1207,-109_-3
E5479,PA,0,-54.015,-1.219,13.039,DESMATAMENTO_CR,2021-10-12,2021-08-20,2021-08-20,2021-08-20,8.0,11.065,25.484,11.065,11.065,25.484,26,65,33.819,1177,12.102,12.73,13.754,1,1,1,792,-109_-3
E5480,MT,0,-60.626,-9.208,35.133,DESMATAMENTO_CR,2021-08-10,2021-06-01,2021-06-01,2021-06-01,6.0,27.8,35.833,27.8,27.8,35.833,37,61,16.419,3297,12.411,13.169,14.702,1,1,1,526,-122_-19
E5481,PA,0,-54.196,-1.84,8.034,DESMATAMENTO_CR,2021-10-12,,,,,,,,,,58,65,31.653,748,12.102,12.73,13.754,1,1,1,0,-109_-4
E5482,PA,0,-54.094,-1.255,9.543,DESMATAMENTO_CR,2021-10-12,2021-03-17,2021-03-17,2021-03-17,3.0,21.452,52.258,21.452,21.452,52.258,25,65,26.884,890,12.102,12.73,13.754,1,1,1,503,-109_-3
E5483,MT,0,-60.879,-9.301,21.8,DESMATAMENTO_CR,2021-08-10,2021-07-07,2021-07-07,2021-07-07,7.0,20.419,29.645,20.419,20.419,29.645,33,61,24.211,2124,12.411,13.169,14.702,1,1,1,1147,-122_-19
E5484,PA,0,-52.886,-0.711,6.794,DESMATAMENTO_CR,2021-10-12,2021-10-02,2021-10-02,2021-10-02,10.0,9.742,6.806,9.742,9.742,6.806,28,34,33.473,636,12.102,12.73,13.754,1,1,1,483,-106_-2
E5485,PA,0,-54.209,-1.26,6.627,DESMATAMENTO_CR,2021-10-12,2021-10-07,2021-10-07,2021-10-07,10.0,5.323,7.323,5.323,5.323,7.323,26,31,24.527,603,12.102,12.73,13.754,1,1,1,94,-109_-3
E5486,AP,0,-51.654,0.522,8.684,DESMATAMENTO_CR,2021-10-12,2021-08-09,2021-08-09,2021-08-09,8.0,27.677,30.097,27.677,27.677,30.097,54,68,31.429,821,12.949,13.47,14.359,1,1,1,293,-104_1
E5487,PA,0,-52.142,-1.985,49.546,DESMATAMENTO_CR,2021-10-12,2021-09-14,2021-09-14,2021-09-14,9.0,7.133,17.733,7.133,7.133,17.733,27,63,20.255,4834,12.102,12.73,13.754,1,1,1,934,-105_-4
E5488,MT,0,-60.934,-9.294,7.121,DESMATAMENTO_CR,2021-08-10,2021-05-02,2021-05-02,2021-05-02,5.0,31.806,40.677,31.806,31.806,40.677,37,61,20.136,670,12.411,13.169,14.702,1,1,1,341,-122_-19
E5489,AP,0,-51.037,0.831,7.717,DESMATAMENTO_CR,2021-10-12,2021-08-22,2021-08-22,2021-08-22,8.0,30.323,12.452,30.323,30.323,12.452,58,34,40.672,717,12.949,13.47,14.359,1,1,1,36,-103_1
E5490,PA,0,-49.264,-2.639,8.718,DESMATAMENTO_CR,2021-10-12,,,,,,,,,,26,35,19.108,836,12.102,12.73,13.754,1,1,1,0,-99_-6
E5491,PA,0,-52.105,-1.898,15.403,DESMATAMENTO_CR,2021-10-12,2021-09-03,2021-09-03,2021-09-03,9.0,9.7,20.3,9.7,9.7,20.3,23,63,25.992,1427,12.102,12.73,13.754,1,1,1,773,-105_-4
E5492,AM,0,-60.97,-7.736,21.399,DESMATAMENTO_CR,2021-08-10,2021-08-06,2021-08-06,2021-08-06,8.0,12.226,24.032,12.226,12.226,24.032,29,61,24.874,2037,9.556,10.204,11.25,1,1,1,1305,-122_-16
E5493,PA,0,-52.071,-1.856,9.707,DESMATAMENTO_CR,2021-10-12,2021-10-02,2021-10-02,2021-10-02,10.0,11.613,13.677,11.613,11.613,13.677,50,63,22.794,913,12.102,12.73,13.754,1,1,1,721,-105_-4
E5494,PA,0,-48.252,-2.818,21.085,DESMATAMENTO_CR,2021-10-12,,,,,,,,,,68,66,30.007,2043,12.102,12.73,13.754,1,1,1,0,-97_-6
E5495,PA,0,-49.031,-2.696,16.882,DESMATAMENTO_CR,2021-10-12,,,,,,,,,,30,35,30.024,1577,12.102,12.73,13.754,1,1,1,0,-99_-6
E5496,PA,0,-49.084,-2.543,22.326,DESMATAMENTO_CR,2021-10-12,2021-12-03,,2021-10-12,12.0,0.0,2.71,,1.613,6.839,25,35,16.397,2143,12.102,12.73,13.754,1,1,1,6,-99_-6
E5497,AM,0,-60.478,-7.528,74.332,DESMATAMENTO_CR,2021-08-10,2021-07-13,2021-07-13,2021-07-13,7.0,16.484,28.484,16.484,16.484,28.484,31,61,22.819,7340,9.556,10.204,11.25,1,1,1,3644,-121_-16
E5498,PA,0,-49.003,-2.588,17.812,DESMATAMENTO_CR,2021-10-12,2021-09-10,2021-09-10,2021-09-10,9.0,7.667,11.333,7.667,7.667,11.333,29,35,40.307,1670,12.102,12.73,13.754,1,1,1,385,-99_-6
E5499,PA,0,-49.083,-2.71,11.22,DESMATAMENTO_CR,2021-10-12,2021-06-18,2021-06-18,2021-06-18,6.0,16.6,21.2,16.6,16.6,21.2,29,35,16.182,1053,12.102,12.73,13.754,1,1,1,22,-99_-6
